,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
235870,118270,"Kai-Wen ""Kevin"" Tan",M,26.0,163.0,64.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,
235871,118270,"Kai-Wen ""Kevin"" Tan",M,26.0,163.0,64.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,Bronze
235872,118270,"Kai-Wen ""Kevin"" Tan",M,26.0,163.0,64.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Horizontal Bar,
235873,118270,"Kai-Wen ""Kevin"" Tan",M,26.0,163.0,64.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Rings,
235874,118270,"Kai-Wen ""Kevin"" Tan",M,26.0,163.0,64.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,
236504,118580,Jevon Anton Tarantino,M,24.0,173.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Synchronized Springboard,
237020,118855,"Angelo F. Taylor, Jr.",M,29.0,188.0,84.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres Hurdles,Gold
237021,118855,"Angelo F. Taylor, Jr.",M,29.0,188.0,84.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
237250,118983,Taylor Hill Teagarden,M,24.0,187.0,90.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
237320,119024,"Matthew ""Matt"" Tegenkamp",M,26.0,186.0,68.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 5,000 metres",
238099,119403,Paul Teti,M,31.0,183.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,
240018,120280,Terry Ronald Tiffee,M,29.0,190.0,102.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
240865,120662,"Patrick ""Pat"" Todd",M,28.0,180.0,72.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,
242126,121279,Jorge Torres,M,27.0,168.0,56.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 10,000 metres",
242647,121523,Scott Joseph Touzinsky,M,26.0,198.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
242894,121637,Terrence R. Trammell,M,29.0,188.0,84.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 110 metres Hurdles,
245208,122784,Jason Turner,M,33.0,183.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Air Pistol, 10 metres",Bronze
245209,122784,Jason Turner,M,33.0,183.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Free Pistol, 50 metres",
249724,125048,Christian John Vande Velde,M,32.0,180.0,68.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",
249785,125083,Peter William Vanderkaay,M,24.0,193.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Freestyle,Bronze
249786,125083,Peter William Vanderkaay,M,24.0,193.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 400 metres Freestyle,
249787,125083,Peter William Vanderkaay,M,24.0,193.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,"Swimming Men's 1,500 metres Freestyle",
249788,125083,Peter William Vanderkaay,M,24.0,193.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
250036,125236,Peter Dale Varellas,M,23.0,191.0,89.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
250633,125533,Chad Vaughn,M,28.0,170.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middleweight,
251290,125841,Erik K. Vendt,M,27.0,180.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
251674,126046,"Bradley ""Brad"" Vering",M,30.0,175.0,84.0,United States,USA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",
254075,127221,Adler Volmar,M,31.0,183.0,100.0,United States,USA,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Heavyweight,
254124,127239,Bryan Daniel Volpenhein,M,31.0,191.0,102.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
255336,127833,"Dwyane Tyrone Wade, Jr.",M,26.0,193.0,96.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
255344,127838,Tim Wadlow,M,34.0,188.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Skiff,
255831,128088,Brad Walker,M,27.0,188.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Pole Vault,
256166,128267,Daniel Walsh,M,29.0,201.0,100.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
256251,128315,"David ""Dave"" Walters",M,20.0,191.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
256338,128352,Ian Scott Waltz,M,31.0,186.0,122.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Discus Throw,
257063,128724,McLain Ward,M,32.0,176.0,70.0,United States,USA,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Individual",
257064,128724,McLain Ward,M,32.0,176.0,70.0,United States,USA,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
257130,128757,Jeremy Matthew Wariner,M,24.0,188.0,71.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,Silver
257131,128757,Jeremy Matthew Wariner,M,24.0,188.0,71.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
257136,128760,Mark Warkentin,M,28.0,188.0,84.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 10 kilometres Open Water,
257214,128796,Rau'Shee Warren,M,21.0,165.0,52.0,United States,USA,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Flyweight,
257721,129069,Casey McGhee Weathers,M,23.0,185.0,99.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
257905,129164,Garrett Weber-Gale,M,23.0,188.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,
257906,129164,Garrett Weber-Gale,M,23.0,188.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,
257907,129164,Garrett Weber-Gale,M,23.0,188.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
257908,129164,Garrett Weber-Gale,M,23.0,188.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
258757,129548,Todd Wells,M,32.0,188.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",
259513,129924,Andrew Wheating,M,20.0,196.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 800 metres,
259528,129933,Adam Wheeler,M,27.0,191.0,96.0,United States,USA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
260586,130410,Deontay Leshun Wilder,M,22.0,201.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Heavyweight,Bronze
260595,130417,"Benjamin Marshall ""Ben"" Wildman-Tobriner",M,23.0,193.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,
